"SYMBOL","COMPANY NAME","INDUSTRY","SERIES","ISINCODE","BSE CODE","Action"
"DISHTV","DISH TV INDIA LTD.","Broadcasting & Cable TV","EQ","INE836F01026","532839",""
"DIVISLAB","DIVI&#39;S LABORATORIES LTD.","Pharmaceuticals","EQ","INE361B01024","532488",""
"DIXON","Dixon Technologies (India) Ltd","Consumer Electronics","EQ","INE935N01012","540699",""
"DLF","DLF LTD.","Realty","EQ","INE271C01023","532868",""
"DMART","Avenue Supermarts Ltd","Department Stores","EQ","INE192R01011","533146",""
"DRREDDY","DR.REDDY&#39;S LABORATORIES LTD.","Pharmaceuticals","EQ","INE089A01023","500124",""
"ECLERX","ECLERX SERVICES LTD.","BPO/KPO","EQ","INE738I01010","532927",""
"EDELWEISS","Edelweiss Financial Services Ltd.","Other Financial Services","EQ","INE532F01054","532922",""
"EICHERMOT","EICHER MOTORS LTD.","2/3 Wheelers","EQ","INE066A01013","505200",""
"EIDPARRY","E.I.D.-PARRY (INDIA) LTD.","Sugar","EQ","INE126A01031","505200",""
"EIHOTEL","EIH LTD.","Hotels","EQ","INE230A01023","500840",""
"ELGIEQUIP","ELGI EQUIPMENTS LTD.","Industrial Machinery","EQ","INE285A01027","522074",""
"EMAMILTD","EMAMI LTD.","Personal Products","EQ","INE548C01032","531162",""
"ENDURANCE","Endurance Technologies Ltd","Auto Parts & Equipment","EQ","INE913H01037","540153",""
"ENGINERSIN","ENGINEERS INDIA LTD.","Consulting Services","EQ","INE510A01028","532178",""
"EQUITAS","Equitas Holdings Ltd","Holding Companies","EQ","INE988K01017","539844",""
"ERIS","Eris Lifesciences Ltd","Pharmaceuticals","EQ","INE406M01024","540596",""
"ESCORTS","ESCORTS LTD.","Commercial Vehicles","EQ","INE042A01014","500495",""
"ESSELPACK","Essel Propack Ltd.","INDUSTRIAL MANUFACTURING","EQ","INE255A01020","",""
"EXIDEIND","EXIDE INDUSTRIES LTD.","Auto Parts & Equipment","EQ","INE302A01020","500086",""
"FCONSUMER","Future Consumer Ltd","Packaged Foods","EQ","INE220J01025","530117",""
"FDC","FDC LTD.","Pharmaceuticals","EQ","INE258B01022","531599",""
"FEDERALBNK","FEDERAL BANK LTD.","Banks","EQ","INE171A01029","500469",""
"FINCABLES","FINOLEX CABLES LTD.","Other Elect.Equip./ Prod.","EQ","INE235A01022","500144",""
"FINEORG","Fine Organic Industries Ltd","Specialty Chemicals","EQ","INE686Y01026","500144",""
"FINPIPE","Finolex Industries Ltd.","INDUSTRIAL MANUFACTURING","EQ","INE183A01016","",""
"FLFL","Future Lifestyle Fashions Ltd","Department Stores","EQ","INE452O01016","500940",""
"FMGOETZE","FEDERAL-MOGUL GOETZE (INDIA) LTD.","Auto Parts & Equipment","EQ","INE529A01010","500940",""
"FORTIS","FORTIS HEALTHCARE LTD.","Healthcare Facilities","EQ","INE061F01013","500940",""
"FRETAIL","Future Retail Ltd","Department Stores","EQ","INE752P01024","500940",""
"FSL","FIRSTSOURCE SOLUTIONS LTD.","BPO/KPO","EQ","INE684F01012","532809",""
"GAIL","GAIL (INDIA) LTD.","Utilities:Non-Elec.","EQ","INE129A01019","540798",""
"GALAXYSURF","Galaxy Surfactants Ltd","Specialty Chemicals","EQ","INE600K01018","540798",""
"GARFIBRES","Garware Technical Fibres Ltd","Textiles","EQ","INE276A01018","540798",""
"GAYAPROJ","GAYATRI PROJECTS LTD.","Construction & Engineering","EQ","INE336H01023","540798",""
"GEPIL","GE Power India Ltd","Heavy Electrical Equipment","EQ","INE878A01011","540798",""
"GESHIP","GREAT EASTERN SHIPPING CO.LTD.","Shipping","EQ","INE017A01032","540798",""
"GET&D","GE T&D India Ltd","Electric Utilities","EQ","INE200A01026","540798",""
"GHCL","GHCL LTD.","Commodity Chemicals","EQ","INE539A01019","540798",""
"GICRE","General Insurance Corporation of India","General Insurance","EQ","INE481Y01014","540798",""
"GILLETTE","GILLETTE INDIA LTD.","Personal Products","EQ","INE322A01010","540798",""
"GLAXO","GLAXOSMITHKLINE PHARMACEUTICALS LTD.","Pharmaceuticals","EQ","INE159A01016","540798",""
"GLENMARK","GLENMARK PHARMACEUTICALS LTD.","Pharmaceuticals","EQ","INE935A01035","540798",""
"GMDCLTD","GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.","Coal","EQ","INE131A01031","540798",""
"GMMPFAUDLR","GMM PFAUDLER LTD.","Industrial Machinery","EQ","INE541A01023","540798",""
"GMRINFRA","GMR INFRASTRUCTURE LTD.","Airport Services","EQ","INE776C01039","540798",""
"GNFC","GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.","Fertilizers","EQ","INE113A01013","532754",""
"GODFRYPHLP","GODFREY PHILLIPS INDIA LTD.","Cigarettes-Tobacco Products","EQ","INE260B01028","500163",""
"GODREJAGRO","Godrej Agrovet Ltd","Other Agricultural Products","EQ","INE850D01014","540743",""
"GODREJCP","GODREJ CONSUMER PRODUCTS LTD.","Personal Products","EQ","INE102D01028","532424",""
"GODREJIND","GODREJ INDUSTRIES LTD.","Commodity Chemicals","EQ","INE233A01035","500164",""
"GODREJPROP","Godrej Properties Ltd","Realty","EQ","INE484J01027","533150",""
"GPPL","GUJARAT PIPAVAV PORT LTD.","Marine Port & Services","EQ","INE517F01014","500168",""
"GRANULES","GRANULES INDIA LTD.","Pharmaceuticals","EQ","INE101D01020","532482",""
"GRAPHITE","GRAPHITE INDIA LTD.","Other Industrial Goods","EQ","INE371A01025","509488",""
"GRASIM","GRASIM INDUSTRIES LTD.","Cement & Cement Products","EQ","INE047A01021","500300",""
"GREAVESCOT","GREAVES COTTON LTD.","Industrial Machinery","EQ","INE224A01026","501455",""
"GRINDWELL","GRINDWELL NORTON LTD.","Other Industrial Products","EQ","INE536A01023","506076",""
"GSFC","GUJARAT STATE FERTILIZERS & CHEMICALS LTD.","Fertilizers","EQ","INE026A01025","509152",""
"GSKCONS","GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.","Packaged Foods","EQ","INE264A01014","509152",""
"GSPL","GUJARAT STATE PETRONET LTD.","Utilities:Non-Elec.","EQ","INE246F01010","509152",""
"GUJALKALI","GUJARAT ALKALIES & CHEMICALS LTD.","Commodity Chemicals","EQ","INE186A01019","530001",""
"GUJGASLTD","Gujarat Gas Ltd.","OIL & GAS","EQ","INE844O01030","",""
"GULFOILLUB","Gulf Oil Lubricants India Ltd","Oil Marketing & Distribution","EQ","INE635Q01029","538567",""
"HAL","Hindustan Aeronautics Ltd","Aerospace","EQ","INE066F01012","533275",""
"HATHWAY","Hathway Cable & Datacom Ltd","Broadcasting & Cable TV","EQ","INE982F01036","533162",""
"HATSUN","HATSUN AGRO PRODUCT LTD.","Packaged Foods","EQ","INE473B01035","531531",""
"HAVELLS","HAVELLS INDIA LTD.","Other Elect.Equip./ Prod.","EQ","INE176B01034","517354",""
"HCLTECH","HCL TECHNOLOGIES LTD.","IT Consulting & Software","EQ","INE860A01027","539787",""
"HDFC","HOUSING DEVELOPMENT FINANCE CORP.LTD.","Housing Finance","EQ","INE001A01036","539787",""
"HDFCAMC","HDFC Asset Management Company Ltd","Asset Management Cos.","EQ","INE127D01025","539787",""
"HDFCBANK","HDFC Bank Ltd","Banks","EQ","INE040A01034","539787",""
"HDFCLIFE","HDFC Life Insurance Company Ltd","Life Insurance","EQ","INE795G01014","539787",""
"HEG","HEG LTD.","Other Industrial Goods","EQ","INE545A01016","509631",""
"HEIDELBERG","HEIDELBERGCEMENT INDIA LTD.","Cement & Cement Products","EQ","INE578A01017","500292",""
"HERITGFOOD","Heritage Foods Limited","Packaged Foods","EQ","INE978A01027","519552",""
"HEROMOTOCO","HERO MOTOCORP LTD.","2/3 Wheelers","EQ","INE158A01026","500182",""
"HEXAWARE","HEXAWARE TECHNOLOGIES LTD.","IT Consulting & Software","EQ","INE093A01033","532129",""
"HFCL","HFCL Ltd","Telecom Cables","EQ","INE548A01028","500183",""
